"Queue","Count","Age"
trms_fr_ari_mdr_account_investigations_high_risk_wrk_amz,14,386966
trms_fr_ari_dnr_concessions_abuse_wrk_amz,12,163507
trms_fr_ari_afnbearsrefundapproval_wrk_amz,10,46126
trms_fr_ari_concessions_abuse_high_pri_capdnr_referrals_wrk_amz,9,29982
trms_fr_ari_f3concessionsabuse_wrk_amz,7,137841
trms_fr_ari_afn_holistic_refund_approval_wrk_amz,5,21034
trms_fr_ari_email_mfn_emails_wrk_amz,5,64376
trms_fr_ari_psi_transfer_concession_level_wrk_amz,5,43447
trms_fr_ari_in_transit_wrk_amz,4,8792
trms_fr_ari_afnrrefundapproval_wrk_amz,3,20300
trms_fr_ari_concessionsabuseflrreferrals_intransit_wrk_amz,3,4268
trms_fr_ari_pfw_highrisk_wrk_amz,3,9595
trms_fr_ari_buyer_returns_wrk_amz,2,40680
trms_fr_ari_concessions_abuse_pfoc_persona_wrk_amz,2,13475
trms_fr_ari_email_ari_rcr_wrk_amz,2,10106
trms_fr_ari_email_neat_wrk_amz,2,43603
trms_fr_ari_email_buyer_claims_abuse_wrk_amz,1,54072
trms_fr_ari_email_internal_referrals_wrk_amz,1,121701
trms_it_ari_mdr_acc_investigation_bau_wrk_amz,519,306547
trms_it_ari_acclinkageinvestigation_wrk_amz,194,355433
trms_it_ari_email_ofm_wrk_amz,180,97683
trms_it_ari_mfnegregious_wrk_amz,114,1139248
trms_it_ari_nsrsou_wrk_amz,99,176358
trms_it_ari_psi_transfer_acc_level_wrk_amz,94,397409
trms_it_ari_pdaconcessionsabuse_wrk_amz,91,115973
trms_it_ari_email_maa_emails_wrk_amz,79,120979
trms_it_ari_email_arm_appeals_wrk_amz,74,123978
trms_it_ari_nsr_concessions_abuse_wrk_amz,68,306132
trms_it_pi_ari_claims_atoz_ari_abuse_abc_wrk_amz,60,66186
trms_it_ari_concessionsabuserr_wrk_amz,32,226983
trms_it_ari_afnhighriskrefundapproval_wrk_amz,30,42107
trms_it_ari_mdr_account_investigations_high_risk_wrk_amz,29,403832
trms_it_ari_email_gbi_wrk_amz,21,1662828
trms_it_ari_concessions_abuse_cap_dnr_referrals_wrk_amz,20,29510
trms_it_ari_email_contra_ari_wrk_amz,19,68679
trms_it_ari_email_ari_esc_wrk_amz,18,377302
trms_it_ari_buyer_returns_wrk_amz,16,96115
trms_it_ari_f3concessionsabuse_wrk_amz,11,137841
trms_it_ari_afnbearsrefundapproval_wrk_amz,9,42377
trms_it_ari_email_dnr_emails_wrk_amz,9,97677
trms_it_ari_email_neat_wrk_amz,8,74556
trms_it_ari_dnr_concessions_abuse_wrk_amz,7,141546
trms_it_ari_afn_holistic_refund_approval_wrk_amz,6,16092
trms_it_ari_cap_high_risk_wrk_amz,6,200579
